pauta,url,voto
PLP 19/2019 - Destaque 5,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
PEC 10/2020 DTQ 1,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
PEC 10/2020  DTQ 5,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
PEC 10/2020 - DTQ 2,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
MPV 915/2019 - Ret. pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2236213,---
PLP 19/2019 - Destaque 7,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
PL 5387/2019 - Req Ret Pauta - Requerimento para Retirada de Pauta ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2224067,Não
PL 5387/2019 - Destaque 1,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2224067,---
PL 5387/2019 - Destaque 4,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2224067,Sim
MPV 910/19 - Requerimento de Retirada de Pauta ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2233488,Não
PL 1179/2020 - DTQ 2 - NOVO,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2247564,---
MPV 919/2020  - DTQ 04,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2236261,Não
MPV 919/2020  - DTQ 03 (PT),https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2236261,Não
PL 5387/2019 - Destaque 6,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2224067,Sim
PL 5387/2019 - Destaque 8,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2224067,Sim
REQ 102/2021 - Requerimento de Urgência (Art. 155 do RICD) nº 102/2021,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2269710,Sim
PRC 6/2021 - Req Vot  Art por Art - Requerimento para Votação Artigo por Artigo ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2269485,---
PLP 9/2020 - Subemenda,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2237331,Sim
MPV 936/2020 - DTQ 12,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242618,Sim
MPV 936/2020 - DTQ 15,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242618,Sim
MPV 923/2020  - Req Ret Pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
PRC 6/2021 - Destaque 4,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2269485,Não
CMC 1/2021 - Par CCJC - Parecer da Comissão de Constituição e Justiça e de Cidadania à CMC 1/2021,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270433,Sim
PEC 3/2021 - Req Ret Pauta - Requerimento para Retirada de Pauta ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Não
PEC 3/2021 - Req Ad Disc - Requerimento do Adiamento por  5 Sessões da Discussão da Admissibilidade da PEC 3/21,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Não
MPV 923/2020  - Vot Art por Art,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
MPV 923/2020  - Ret Pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
MPV 923/2020  - DTQ 3,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
MPV 923/2020  - DTQ 12,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Sim
PEC 3/2021 - Admissibilidade - PARECER DE ADMISSIBILIDADE DA PROPOSTA DE EMENDA À CONSTITUIÇÃO nº 3/2021.,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Sim
PEC 3/2021 - Req Ret Pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,---
PEC 3/2021 - Req Ad Disc 4 Sessõess ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Não
MPV 923/2020  - DTQ 5,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
MPV 923/2020  - DTQ2,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
MPV 923/2020  - DTQ 11,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238112,Não
REQ 533/20,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242322,Sim
PEC 3/2021 - Encerr Disc -  Requerimento para Encerramento da Discussão,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Sim
PEC 3/2021 - Req Ad Vot 4 Sessões,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Não
PEC 3/2021 - Req Vot  Art por Art,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Não
PEC 3/2021 - Req Vot Globo Adm Dest Simples,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270800,Sim
REQ 615/20,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2244773,Sim
REQ 654/2020 ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2247459,Não
MPV 932/2020 - Dtq 6,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242400,---
MPV 927/2020  - Ret pauta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,---
PL 534/2021 - Destaque 1,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270971,Sim
REQ 2946/2020 - Requerimento de Urgência (Art. 155 do RICD) nº 2946/2020,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2266921,Sim
REQ 2214/2020 - Requerimento de Urgência (Art. 155 do RICD) nº 2214/2020,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2260781,Sim
MPV 927/2020  - Ad Disc 2 Sessões,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,---
MPV 927/2020  - Requerimento de Retirada de Pauta ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Não
MPV 927/2020  - Vot Artigo por Artigo ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Não
MPV 927/2020  - Par Atendimento,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Sim
PL 5638/2020 - Destaque 10,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2268029,---
MPV 1006/2020 - Destaque 7,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263719,---
MPV 1006/2020 - Destaque 6,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263719,Não
MPV 1006/2020 - Destaque 9,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263719,Não
MPV 927/2020  - Não Atendimento,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Sim
MPV 927/2020  - PLV,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Sim
MPV 927/2020  - Emen Reje,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Sim
MPV 927/2020  - DTQ 03,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241662,Sim
MPV 1006/2020 - Destaque 11,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263719,Não
